"year","rep","age_group","sex","race","cause","cycle","trend"
1968,1,"adults","female","black","assault",-0.0296042,1.39728
1969,1,"adults","female","black","assault",-0.0268088,1.39603
1970,0,"adults","female","black","assault",-0.0189428,1.39449
1971,0,"adults","female","black","assault",0.026556,1.39209
1972,0,"adults","female","black","assault",0.0121276,1.38807
1973,0,"adults","female","black","assault",0.0521326,1.38196
1974,0,"adults","female","black","assault",0.0463028,1.37337
1975,0,"adults","female","black","assault",0.0247812,1.36247
1976,0,"adults","female","black","assault",-0.00935883,1.34988
1977,0,"adults","female","black","assault",-0.029603,1.33645
1978,1,"adults","female","black","assault",-0.0259386,1.32297
1979,1,"adults","female","black","assault",0.00744868,1.3099
1980,1,"adults","female","black","assault",0.0325178,1.29747
1981,1,"adults","female","black","assault",0.00253536,1.28596
1982,0,"adults","female","black","assault",-0.0259487,1.27599
1983,0,"adults","female","black","assault",-0.0391841,1.2682
1984,0,"adults","female","black","assault",-0.0576309,1.26297
1985,0,"adults","female","black","assault",-0.0487313,1.2603
1986,0,"adults","female","black","assault",-0.0178822,1.2596
1987,0,"adults","female","black","assault",0.00627947,1.25979
1988,0,"adults","female","black","assault",0.021528,1.25963
1989,0,"adults","female","black","assault",0.00250531,1.25791
1990,0,"adults","female","black","assault",0.018574,1.25368
1991,0,"adults","female","black","assault",0.0596571,1.24597
1992,0,"adults","female","black","assault",0.0398223,1.23403
1993,0,"adults","female","black","assault",0.0539865,1.21769
1994,1,"adults","female","black","assault",0.0436757,1.19717
1995,1,"adults","female","black","assault",-0.000597386,1.17326
1996,1,"adults","female","black","assault",-0.00837688,1.14716
1997,1,"adults","female","black","assault",-0.0169731,1.12007
1998,1,"adults","female","black","assault",-0.0278147,1.09311
1999,1,"adults","female","black","assault",-0.0416018,1.06722
2000,1,"adults","female","black","assault",-0.0377397,1.04309
2001,1,"adults","female","black","assault",-0.0167966,1.02095
2002,0,"adults","female","black","assault",0.00690159,1.0007
2003,0,"adults","female","black","assault",-0.00266443,0.982036
2004,0,"adults","female","black","assault",-0.0200058,0.964738
2005,0,"adults","female","black","assault",0.00448972,0.948557
2006,0,"adults","female","black","assault",0.0438493,0.933045
2007,0,"adults","female","black","assault",0.0306475,0.917799
2008,0,"adults","female","black","assault",-0.0232213,0.902852
2009,0,"adults","female","black","assault",-0.00950469,0.888547
2010,1,"adults","female","black","assault",-0.028,0.874991
2011,1,"adults","female","black","assault",-0.00645145,0.8622
2012,1,"adults","female","black","assault",0.0103707,0.849906
2013,1,"adults","female","black","assault",0.0286715,0.837779
2014,1,"adults","female","black","assault",-0.00597931,0.825592
1968,1,"adults","female","black","intentional_self_harm",-0.0747705,0.647656
1969,1,"adults","female","black","intentional_self_harm",-0.00266017,0.655489
1970,0,"adults","female","black","intentional_self_harm",-0.00400745,0.662575
1971,0,"adults","female","black","intentional_self_harm",0.057738,0.668139
1972,0,"adults","female","black","intentional_self_harm",0.0462557,0.671366
1973,0,"adults","female","black","intentional_self_harm",-0.0261278,0.67202
1974,0,"adults","female","black","intentional_self_harm",-0.0324516,0.670325
1975,0,"adults","female","black","intentional_self_harm",0.00747878,0.666248
1976,0,"adults","female","black","intentional_self_harm",0.0290833,0.659426
1977,0,"adults","female","black","intentional_self_harm",0.0616695,0.649576
1978,1,"adults","female","black","intentional_self_harm",0.0323868,0.636701
1979,1,"adults","female","black","intentional_self_harm",0.0252523,0.621425
1980,1,"adults","female","black","intentional_self_harm",-0.0301429,0.604693
1981,1,"adults","female","black","intentional_self_harm",-0.00664815,0.587703
1982,0,"adults","female","black","intentional_self_harm",-0.0238762,0.571353
1983,0,"adults","female","black","intentional_self_harm",-0.05093,0.556473
1984,0,"adults","female","black","intentional_self_harm",-0.0180434,0.543656
1985,0,"adults","female","black","intentional_self_harm",-0.0447744,0.532982
1986,0,"adults","female","black","intentional_self_harm",-0.0221676,0.524356
1987,0,"adults","female","black","intentional_self_harm",-0.0283817,0.51723
1988,0,"adults","female","black","intentional_self_harm",0.043711,0.510838
1989,0,"adults","female","black","intentional_self_harm",0.0554954,0.504128
1990,0,"adults","female","black","intentional_self_harm",0.0484722,0.496486
1991,0,"adults","female","black","intentional_self_harm",-0.0286358,0.487853
1992,0,"adults","female","black","intentional_self_harm",0.00587919,0.478656
1993,0,"adults","female","black","intentional_self_harm",0.0101403,0.469032
1994,1,"adults","female","black","intentional_self_harm",-0.00166301,0.45918
1995,1,"adults","female","black","intentional_self_harm",0.0126236,0.4494
1996,1,"adults","female","black","intentional_self_harm",0.00951981,0.439974
1997,1,"adults","female","black","intentional_self_harm",-0.0234738,0.431312
1998,1,"adults","female","black","intentional_self_harm",-0.0124384,0.423917
1999,1,"adults","female","black","intentional_self_harm",-0.0443068,0.418059
2000,1,"adults","female","black","intentional_self_harm",0.0198607,0.413883
2001,1,"adults","female","black","intentional_self_harm",0.00405132,0.411092
2002,0,"adults","female","black","intentional_self_harm",-0.0246937,0.409586
2003,0,"adults","female","black","intentional_self_harm",0.0411399,0.409306
