"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Infective and parasitic diseases"	"000-136"	394	258270	152.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Neoplasms"	"140-239"	24	258270	9.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	77	258270	29.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the blood and blood-forming organs"	"280-289"	19	258270	7.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the nervous system and sense organs"	"320-389"	120	258270	46.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the circulatory system"	"390-458"	94	258270	36.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the respiratory system"	"460-519"	1562	258270	604.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the digestive system"	"520-577"	90	258270	34.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the genitourinary system"	"580-629"	12	258270	4.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the skin and subcutaneous tissue"	"680-709"	5	258270	1.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	1	258270	0.4 (Unreliable)
