"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Female"	"F"	8579	258270	3321.7
	"1968"	"1968"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	10640	265110	4013.4
	"1968"	"1968"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Female"	"F"	491	25334	1938.1
	"1968"	"1968"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Male"	"M"	651	26510	2455.7
	"1968"	"1968"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	23167	1421634	1629.6
	"1968"	"1968"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	32735	1504706	2175.5
	"1968"	"1968"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Female"	"F"	1418	1042000	136.1
	"1968"	"1968"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Male"	"M"	1752	1048000	167.2
	"1968"	"1968"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Female"	"F"	122	99000	123.2
	"1968"	"1968"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Male"	"M"	149	101000	147.5
	"1968"	"1968"	"1-4 years"	"1-4"	"White"	"2106-3"	"Female"	"F"	4221	5999000	70.4
	"1968"	"1968"	"1-4 years"	"1-4"	"White"	"2106-3"	"Male"	"M"	5376	6258000	85.9
	"1968"	"1968"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Female"	"F"	711	1390000	51.2
	"1968"	"1968"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Male"	"M"	1009	1389000	72.6
	"1968"	"1968"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Female"	"F"	50	136000	36.8
	"1968"	"1968"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Male"	"M"	73	138000	52.9
	"1968"	"1968"	"5-9 years"	"5-9"	"White"	"2106-3"	"Female"	"F"	2913	8498000	34.3
	"1968"	"1968"	"5-9 years"	"5-9"	"White"	"2106-3"	"Male"	"M"	4319	8863000	48.7
	"1968"	"1968"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Female"	"F"	562	1351000	41.6
	"1968"	"1968"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Male"	"M"	1033	1355000	76.2
	"1968"	"1968"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Female"	"F"	42	121000	34.7
	"1968"	"1968"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Male"	"M"	67	122000	54.9
	"1968"	"1968"	"10-14 years"	"10-14"	"White"	"2106-3"	"Female"	"F"	2412	8518000	28.3
	"1968"	"1968"	"10-14 years"	"10-14"	"White"	"2106-3"	"Male"	"M"	4351	8890000	48.9
	"1968"	"1968"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	930	1136000	81.9
	"1968"	"1968"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	2432	1114000	218.3
	"1968"	"1968"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Female"	"F"	75	110000	68.2
	"1968"	"1968"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Male"	"M"	192	110000	174.5
	"1968"	"1968"	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	4431	7767000	57.0
	"1968"	"1968"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	11607	7953000	145.9
	"1968"	"1968"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	1240	878000	141.2
	"1968"	"1968"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	2965	748000	396.4
	"1968"	"1968"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Female"	"F"	94	102000	92.2
	"1968"	"1968"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Male"	"M"	237	95000	249.5
	"1968"	"1968"	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	4417	6867000	64.3
	"1968"	"1968"	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	12520	6365000	196.7
